NOTE  |Author: Z E C K v2.0 Initial [08.08.2018]
NOTE  |             ★★★ TH 11 ★★★
NOTE  |Train: 7 Electro Dragons, 10 Balloons 3 Rage, 2 Lightning, 1 EarthQuake - in CC 1 Rage and Balloons
NOTE  |             ★★★ TH 12 ★★★
NOTE  |Train: 7 Electro Dragons, 14 Balloons 3 Rage, 2 Lightning, 1 EarthQuake - in CC 1 Rage and Balloons
NOTE  |
NOTE  |       Script work on "EXTERNAL EDGES"

      |-----------------------------------------Electro Dragon Start----------------------------------------------|
      |                                               Z E C K                                                     |

      |_TROOPNAME_|__FLEXIBLE_|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
TRAIN |EDrag      |0          |0          |0          |0          |0          |0          |8          |9          |
TRAIN |Drag       |0          |0          |0          |0          |0          |0          |1          |0          |
TRAIN |BabyD      |0          |0          |0          |0          |0          |0          |0          |1          |

TRAIN |RSpell     |0          |0          |0          |0          |0          |0          |3          |3          |
TRAIN |LSpell     |0          |0          |0          |0          |0          |0          |2          |2          |
TRAIN |ESpell     |0          |0          |0          |0          |0          |0          |1          |1          |

      |_TROOPNAME_|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
TRAIN |King       |0          |0          |0          |0          |0          |0          |1          |1          |
TRAIN |Queen      |0          |0          |0          |0          |0          |0          |1          |1          |
TRAIN |Warden     |0          |0          |0          |0          |0          |0          |1          |1          |

      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
REDLN |0          |0          |0          |0          |0          |0          |0          |4          |4          |
DRPLN |0          |0          |0          |0          |0          |0          |0          |0          |0          |

      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
CCREQ |           |           |           |           |           |           |           |EDrago Rage|EDrago Rage|

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|___________|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |AIRSWEEPER |GEMBOX     |           |
SIDEB |15         |0          |0          |0          |0          |9          |0          |           |           |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|___________|
MAKE  |A          |FRONT-LEFT |10         |0          |EXT-INT    |0          |0          |           |           |
MAKE  |B          |FRONT-RIGHT|10         |0          |INT-EXT    |0          |0          |           |           |
MAKE  |W          |FRONT-LEFT |10         |-6         |INT-EXT    |0          |0          |           |           |
MAKE  |C          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |0          |           |           |
MAKE  |D          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |0          |           |           |
MAKE  |E          |FRONT-LEFT |10         |-17        |INT-EXT    |0          |0          |           |           |
MAKE  |F          |FRONT-RIGHT|10         |-18        |INT-EXT    |0          |0          |           |           |
MAKE  |M          |LEFT-FRONT |10         |0          |EXT-INT    |0          |0          |           |           |
MAKE  |N          |RIGHT-FRONT|10         |0          |EXT-INT    |0          |0          |           |           |
MAKE  |G          |FRONT-LEFT |1          |1          |IGNORE     |           |           |AIRDEFENSE |           |

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|___________|
DROP  |G          |1          |2          |LSpell     |50-70      |0          |350-400    |           |           |
WAIT  |2000-2200  |           |           |           |           |           |           |           |           |
DROP  |G          |1          |1          |ESpell     |50-70      |0          |350-400    |           |           |
WAIT  |2000-2200  |           |           |           |           |           |           |           |           |
DROP  |A          |4,6,8,10   |4          |EDrag      |50-70      |37-50      |15-20      |           |           |
DROP  |B          |1,3,5      |3          |EDrag      |50-70      |37-50      |500-700    |           |           |
DROP  |A          |10         |1          |Castle     |0          |0          |150-170    |           |           |
DROP  |A          |10         |1          |BattleB    |0          |0          |150-170    |           |           |
DROP  |A          |4,5,6,8,10 |6          |Ball       |50-70      |27-50      |15-20      |           |           |
DROP  |B          |1,3,4,5,5,6|6          |Ball       |50-70      |27-50      |15-20      |           |           |
DROP  |A          |10         |1          |Ball       |50-70      |27-50      |15-20      |           |           |
DROP  |B          |1          |1          |Ball       |50-70      |27-50      |15-20      |           |           |
DROP  |A          |10         |1          |Warden     |50-70      |0          |150-200    |           |           |
DROP  |M          |3          |1          |King       |0          |0          |150-200    |           |           |
DROP  |N          |3          |1          |Queen      |0          |0          |150-200    |           |           |
DROP  |C          |3          |1          |RSpell     |0          |0          |250-300    |           |           |
DROP  |D          |2          |1          |RSpell     |0          |0          |200-250    |           |           |
WAIT  |3500-3700  |           |           |           |           |           |           |           |           |
DROP  |E          |3          |1          |RSpell     |0          |0          |200-250    |           |           |
DROP  |F          |2          |1          |RSpell     |0          |0          |200-250    |           |           |
DROP  |F          |2          |1          |HaSpell    |0          |0          |150-200    |           |           |
DROP  |H          |2          |1          |HaSpell    |0          |0          |150-200    |           |           |
WAIT  |2300-2500  |           |           |           |           |           |           |           |           |
DROP  |A          |10         |1          |Warden     |50-100     |           |500-700    |           |           |
DROP  |M-N        |7-10       |1          |REMAIN     |50-70      |100        |50-100     |           |           |

      |                                                                                                           |
      |-------------------------------------------Electro Dragon End----------------------------------------------|
